ALMACEN,TIENDA,NOMBRE,LATITUD,LONGITUD,TARIMAS
91000,12064,12064 GAS GLORIETA PERRITOS,18.896667,-103.859258,1
91000,14035,14035 BALLENA,19.08056032,-104.2850329,1
93100,31159,31159 LOS VENADOS,20.523069,-104.779526,1
93100,31045,31045 VALLARTA 500,20.65572271,-105.2273577,1
95500,54032,54032 COLINAS DEL VALLE,21.489187,-104.847305,1
95500,54030,54030 EL ROBLE,21.504474,-104.911452,1
91000,12020,12020 VALLE QUERIDO,18.92618306,-103.8725385,1
91000,13022,13022 PANTEON HIDALGO,19.70940839,-103.4764801,1
91000,19080,19080 ACAPULCO,19.22738,-103.70451,1
91000,14013,14013 MIRAMAR,19.1191187,-104.3899047,1
91000,14052,14052 SALAGUA,19.11229069,-104.3359297,2
91000,14034,14034 CIHUATLAN OCAMPO,19.23639532,-104.5608458,2
95500,54029,54029 EL PARAISO,21.536123,-104.875663,1
91000,19053,19053 PALMA TERRA,19.26035,-103.72268,2
95500,54086,54086 ARMADILLO,21.46047,-104.8553,1
91000,19132,19132 LOS AMIALES,19.19558,-103.81256,1
91000,14075,14075 VILLA OBREGÓN,19.35739,-104.8965,1
91000,13076,13076 GAS SAN GABRIEL,19.93590569,-102.9498735,1
95500,54095,54095 MOLOLOA,21.518264,-104.886753,1
91000,14102,14102 LAGUNA DEL TULE,19.222424,-104.700644,1
91000,14070,14070 LA PESQUERA,19.093409,-104.299298,1
91000,19006,19006 CENTRO MEDICO,19.24913,-103.72705,1
91000,13090,13090 CONTLA,19.752717,-103.177789,1
91000,14007,14007 GAS GARZAS,19.09597282,-104.3032625,1
93100,31054,31054 AURORA,20.65933038,-105.2348834,2
91000,12049,12049 RIO GRIJALVA,18.908338,-103.887868,1
91000,13044,13044 CAPAYA,19.788321,-104.370896,1
91000,13050,13050 OCTAVIO PAZ,19.764809,-104.376323,1
95500,54027,54027 ALBORADA,21.46037,-104.902481,1
91000,14082,14082 LOS ALTOS,19.14934,-104.336827,2
91000,13096,13096 PIHUAMO CENTRO,19.254638,-103.378973,1
93100,31164,31164 LOMAS DEL COAPINOLE,20.657929,-105.200814,1
91000,19050,19050 TABACHINES,19.24293,-103.76599,1
93100,31080,31080 GAS LA PEÑITA,21.055225,-105.235492,2
93100,31132,31132 CRUCERO CHACALA,21.167003,-105.154218,1
95500,54034,54034 LINDA VISTA,21.507869,-104.918602,1
91000,14086,14086 VILLA PURIFICACION,19.719022,-104.607616,1
95500,54082,54082 RUIZ,21.954169,-105.132228,1
91000,14041,14041 HELIODORO TRUJILLO,19.071113,-104.2835756,2
93100,31079,31079 EXIQUIO REVOLUCION,20.655141,-105.22026,1
91000,19142,19142 PUNTA NORTE,19.288514,-103.701364,1
93100,31151,31151 VERDE VALLARTA,20.712203,-105.232218,2
91000,14092,14092 ESMERALDA,19.12437,-104.34406,2
91000,51001,51001 LOS CANTAROS,20.512046,-103.336751,1
91000,13087,13087 LAS PEÑAS,19.70175499,-103.4525616,1
95500,54075,54075 PANTANAL,21.427961,-104.859966,1
91000,19063,19063 BASILIO BADILLO,19.32516,-103.6019,1
91000,19072,19072 LAGUNAS,19.29279,-103.7322,1
91000,19082,19082 VILLAS DE ORO,19.26334,-103.75051,1
91000,14032,14032 CAMELINAS,19.13122164,-104.3373617,1
91000,19135,19135 HOSPITAL DE CANCEROLOGIA,19.221136,-103.727948,2
91000,51004,51004 CANTAROS DE MARMOL,20.504593,-103.335999,1
91000,13062,13062 TEC GUZMAN,19.668001,-103.484976,1
95500,54060,54060 ENTRADA SAN BLAS,21.544246,-105.274662,1
95500,54089,54089 NUEVO MEXICO,21.813167,-105.217114,1
91000,19038,19038 MARIA AHUMADA,19.27251,-103.73484,1
93100,31022,31022 TAMPICO,20.63016864,-105.2143362,1
93100,31036,31036 IMSS,20.67572296,-105.204665,2
95500,54094,54094 ZARAGOZA,22.39622,-105.45293,1
93100,31104,31104 REVOLUCION SAYULITA,20.867142,-105.441764,2
93100,31024,31024 ECUADOR,20.651963,-105.2105191,1
93100,31143,31143 EL TUITO,20.315611,-105.318769,2
93100,31137,31137 ISLA MALLORCA,20.749061,-105.283286,2
93100,31141,31141 REPUBLICA DE GUATEMALA,20.649242,-105.210189,1
91000,12012,12012 INDECO,18.90930556,-103.8858045,1
93100,31001,31001 MORELOS,20.6075812,-105.2364223,1
93100,31059,31059 VILLA GUADALUPE,20.65045521,-105.2061442,2
93100,31006,31006 PITILLAL,20.65060872,-105.2194357,2
91000,19127,19127 SAN MARCOS,19.44432,-103.50612,1
93100,31007,31007 MOJONERAS,20.68956721,-105.2257745,1
93100,31044,31044 ALEMANIA,20.65357598,-105.2025513,1
91000,13020,13020 ABASOLO,19.71305421,-103.4699433,1
95500,54058,54058 PUGA,21.582255,-104.823999,1
91000,19005,19005 NIÑOS HEROES,19.23684,-103.71306,1
91000,14105,14105 REFORMA,19.091391,-104.292364,1
91000,13040,13040 PEDRO MORENO,19.771103,-104.371866,1
95500,54013,54013 LAGOS DEL COUNTRY,21.482045,-104.862346,1
91000,14076,14076 NUEVO MIGUEL HIDALGO,19.357393,-104.896501,1
91000,19017,19017 FILOMENO MEDINA,19.24143,-103.7239,1
91000,19074,19074 LAS TORRES,19.24497,-103.6905,1
91000,19046,19046 DIEGO GARCIA,19.24736,-103.75715,1
91000,12021,12021 VILLAS DEL REY,18.89930982,-103.8822951,2
91000,14022,14022 EL TESORO,19.10878532,-104.3464892,1
91000,13088,13088 OBRERA,19.691628,-103.241522,1
91000,14029,14029 BARRIO 1,19.0915848,-104.2998485,2
91000,13056,13056 GAS SAN PEDRO,19.458536,-103.346876,1
91000,14021,14021 SAN PEDRITO,19.05602982,-104.3047533,2
91000,13071,13071 SAN JOSE CENTRO,19.988407,-103.021794,2
91000,13029,13029 ZAPOTILTIC BUSTAMANTE,19.623007,-103.414796,1
91000,13074,13074 MANUEL M DIEGUEZ,19.5516903,-103.3745938,1
95500,54062,54062 LIBRAMIENTO A XALISCO,21.479147,-104.898135,1
91000,12010,12010 EMILIANO ZAPATA,18.91959136,-103.8775837,1
91000,19021,19021 CAMINO REAL,19.25055,-103.70276,2
91000,12054,12054 REFORMA,18.913343,-103.870635,1
91000,14055,14055 MARIMAR,19.12194158,-104.3219227,1
91000,12062,12062 VALLE LAS PALMAS,18.9322,-103.87757,1
91000,14039,14039 GAS PRIMAVERA,19.09210128,-104.3009124,2
91000,12006,12006 COFRADIA DE MORELOS,18.86313834,-103.8375587,1
91000,19049,19049 PROLONGACION HIDALGO,19.28695,-103.72649,1
93100,31092,31092 TAMAULIPAS,20.689226,-105.220396,2
93100,31019,31019 ETZIQUIO CORONA,20.66138802,-105.2177301,2
93100,31066,31066 LA FLORESTA VALLARTA,20.664657,-105.220866,1
93100,31162,31162 AV CORAL,21.0246,-105.287384,2
91000,14027,14027 PLAYA AZUL,19.08157754,-104.3069808,2
93100,31075,31075 LOMA BONITA,20.662072,-105.212695,1
95500,54017,54017 RIO SUCHIATE,21.484529,-104.888708,1
93100,31035,31035 VIENA,20.63538405,-105.2260454,1
95500,54010,54010 GAS COLOSIO,21.491575,-104.862389,1
95500,54048,54048 GUADALAJARA,21.511241,-104.882888,1
91000,14031,14031 AUDITORIO,19.08636758,-104.2933837,1
91000,19007,19007 VILLA IZCALLI,19.28442,-103.73594,1
91000,51038,51038 CLUB BANCARIO,20.60242,-103.40602,1
91000,14084,14084 CASIMIRO CASTILLO CENTRO,19.604177,-104.435391,1
91000,19001,19001 MERCED CABRERA,19.271074,-103.747005,1
91000,19123,19123 VISTA VOLCANES,19.28363,-103.78022,1
91000,19065,19065 MEGA PALENQUE,19.28421,-103.74479,1
91000,12004,12004 IMSS TECOMAN,18.91224776,-103.8770174,1
91000,12024,12024 LA ESTACION,18.93384838,-103.9642263,1
91000,19054,19054 GAS COQUI 2,19.215,-103.80464,1
91000,14024,14024 GAS TEPALCATES,19.03805842,-104.257681,2
91000,19097,19097 VILLAS DEL JAZMIN,19.24126,-103.68239,1
91000,19133,19133 GAS SEVILLA,19.25575,-103.717057,1
91000,14103,14103 LAZARO CARDENAS,19.120568,-104.26847,1
91000,19027,19027 AYUNTAMIENTO,19.28066,-103.73281,1
91000,14096,14096 MAR DEL SUR,19.129275,-104.334309,1
91000,12044,12044 SIMON BOLIVAR,18.912425,-103.889491,1
91000,13077,13077 VALLE DE JUAREZ,19.93590569,-102.9498735,2
91000,51032,51032 GAS ADOLF HORN,20.499063,-103.340254,2
91000,12048,12048 UNION,18.922717,-103.884537,2
91000,51015,51015 GAS SANTA ANITA,20.551475,-103.4384,1
91000,13003,13003 OBISPO,19.69156971,-103.4592694,1
95500,54092,54092 PLAZA RUIZ,21.950842,-105.145706,1
93100,31052,31052 SAN PANCHO,20.89944575,-105.4128568,2
93100,31009,31009 EL PORVENIR,20.75245223,-105.244235,1
93100,31129,31129 SENDERO DE LUNA,20.67835,-105.22136,1
93100,31069,31069 GONZALEZ GALLO,20.645192,-105.21017,1
93100,31060,31060 IXTAPA ITURBIDE,20.71555747,-105.20315,1
91000,19025,19025 GAS SAUCES,19.21261,-103.74002,2
93100,31121,31121 GARDENIA,20.67525,-105.209453,2
93100,31027,31027 AMAPAS,20.60108985,-105.2343655,2
91000,14038,14038 PROGRESO,19.11380095,-104.3430725,1
91000,13028,13028 SAN ISIDRO,19.703163,-103.476619,1
93100,31146,31146 MARALTA,20.67768,-105.20351,1
91000,12046,12046 DE LA JUVENTUD,18.923051,-103.894098,1
93100,31149,31149 LOMAS DE EN MEDIO,20.664075,-105.205519,1
95500,54022,54022 LA HUERTA,21.518139,-104.911952,1
91000,12045,12045 IXTLAHUACAN,19.000783,-103.738936,1
91000,12065,12065 GAS IXTLAHUACAN,18.998492,-103.734675,1
91000,14063,14063 HOMOBONO LLAMAS,19.05597569,-104.2460202,2
93100,31025,31025 JUNTAS CARRANZA,20.70010067,-105.2451334,2
91000,19061,19061 CAMPESINO,19.22912,-103.71807,1
91000,19103,19103 GLORIETA DEL DIF,19.245088,-103.712925,1
93100,31031,31031 GAS LAS JUNTAS,20.70302033,-105.232338,1
91000,14067,14067 CENTRAL MANZANILLO,19.089374,-104.291682,2
91000,14074,14074 TENIENTE AZUETA,19.05887,-104.30277,2
91000,14061,14061 TERMOELECTRICA,19.02260556,-104.3204704,2
91000,13065,13065 GAS HUESCALAPA,19.639619,-103.443864,1
91000,13002,13002 COLON GUZMAN,19.71849884,-103.4601526,1
91000,14071,14071 MARABASCO CIHUATLAN,19.237652,-104.55609,1
91000,51060,51060 DIAZ DE LEON,20.548254,-104.041971,1
91000,19012,19012 FRONTERA,19.27111,-103.73362,1
91000,19146,19146 GAS CRUZ DE MINA,19.27346408,-103.7513427,1
91000,13045,13045 GLORIETA EL GRULLO,19.80495,-104.205735,1
91000,14045,14045 LAS ALBERCAS,19.11762103,-104.3312573,1
91000,14046,14046 ALLENDE,19.12296664,-104.3528545,1
93100,31055,31055 SAN JOSE VALLE,20.76205686,-105.2270324,1
91000,19086,19086 LA TRINIDAD,19.32939,-103.76093,1
91000,51052,51052 SAN DIEGO,20.35739,-103.82326,1
91000,51059,51059 SOLIDARIDAD,20.655521,-103.713011,2
91000,14006,14006 GAVIOTAS,19.10377695,-104.3222398,1
91000,14014,14014 GAS BRILLOLIM,19.10422102,-104.3318577,2
91000,19009,19009 GLORIETA DEL CHARRO,19.24364,-103.73568,1
91000,12031,12031 HOSPITAL TECOMAN,18.906971,-103.882572,1
93100,31078,31078 RIO DANUBIO,20.62162,-105.223107,1
91000,14072,14072 LAS TORRES MANZANILLO,19.05081,-104.278044,1
91000,12014,12014 GAS TICUIZ,18.67481449,-103.680823,1
91000,51028,51028 PLAZA MAGNOLIAS,20.55497,-103.33197,1
93100,31155,31155 VALLE EL JADE,20.775028,-105.258983,1
91000,19069,19069 TRAPICHE ZAPATA,19.27754,-103.66295,1
91000,19088,19088 REPUBLICA,19.23296,-103.69291,1
91000,19066,19066 GAS TRAPICHE,19.26884,-103.67455,2
91000,14025,14025 LAS VIAS,19.07251113,-104.2803787,1
91000,51058,51058 CARRETERA A MASCOTA,20.538641,-104.045963,1
93100,31004,31004 GAS SAN JOSE,20.75600086,-105.2354654,1
91000,14099,14099 RESIDENCIAL GAVIOTAS,19.0971,-104.295558,1
91000,13011,13011 SERAFIN VAZQUEZ,19.68258405,-103.4621974,1
91000,12017,12017 PIPILA,18.90736315,-103.8737803,1
91000,19144,19144 GLORIETA LA BICICLETA,19.264088,-103.702758,1
91000,12053,12053 COAHUAYANA VIEJO,18.749674,-103.669452,1
91000,14043,14043 MELAQUE,19.22690562,-104.7056641,1
91000,13016,13016 GAS CARDENAS,19.72195615,-103.4592518,1
93100,31086,31086 TULIPANES,20.772535,-105.223841,2
91000,19018,19018 GONZALO DE SANDOVAL,19.24313,-103.69908,1
91000,13097,13097 GAS EL VERGEL,19.744697,-104.361965,1
91000,19059,19059 ESPINAL,19.26656,-103.77105,1
91000,14051,14051 GONZALEZ LUGO,19.13056302,-104.3494734,2
91000,19010,19010 COMALA,19.32102,-103.75889,1
91000,19101,19101 RESIDENCIAL ESMERALDA,19.27075,-103.71646,1
91000,51035,51035 EL PALMAR SAN FRANCISCO,20.562782,-103.339755,1
93100,31112,31112 MAR CARIBE,20.746282,-105.27476,2
93100,31050,31050 VALLE BANDERAS,20.80549841,-105.2468443,2
91000,19087,19087 LAPISLAZULI,19.26199,-103.76305,1
