ALMACENID,NOMBRE,LATITUD,LONGITUD
91000,91000 CEDI CENTRAL COLIMA,19.232354,-103.724718
95500,95500 CEDI TEPIC,21.4673222,-104.8775917
93100,93100 CEDI CROSS DOCK VALLARTA,20.6867462,-105.230979
